PROPERTY_NUM,PROPERTY_NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE
PS #77887,Durham / Ellis Rd,2112 Ellis Rd,Durham,NC,27703,35.939,-78.8579
PS #77888,Fuquay Varina/Annabel Dr,5680 Annabel Dr,Fuquay-Varina,NC,27526-9280,35.6285,-78.7785
PS #77889,Stockton/Pacific Ave,5308 Pacific Ave,Stockton,CA,95207-5619,37.9988,-121.313
PS #77892,Sherman/N Travis St,2211 N Travis St,Sherman,TX,75090-2532,33.6576,-96.6155
PS #77893,Garner / Caddy Road,7710 Caddy Road,Raleigh,NC,27603,35.6675,-78.6935
PS #77897,Sanford / Cherry Laurel Dr,2461 Cherry Laurel Dr,Sanford,FL,32771-9522,28.7871,-81.3448
PS #77898,Birmingham/2nd Ave N,1716 2nd Ave N,Birmingham,AL,35203-2012,33.5138,-86.8098
PS #77899,Huntsville/Jackson Ave NW,2100 Jackson Ave NW,Huntsville,AL,35805-2950,34.7283,-86.5973
PS #77900,Mantua/Bridgeton Pike,222 Bridegeton Pike,Mantua,NJ,08051-1913,39.7901,-75.1766
PS #77901,Jeffersonville/Schlosser Farm,3301 Schlosser Farm Way,Jeffersonville,IN,47130,38.3359,-85.7127
PS #77902,Buda / FM 2001,850 FM 2001,Buda,TX,78610-9740,30.0699,-97.8188
PS #77903,Avon/Nagel Rd,1100 Nagel Rd,Avon,OH,44011-1329,41.4753,-81.9892
PS #77904,Cape Coral/Diplomat Pkwy E,1607 Diplomat Pkwy E,Cape Coral,FL,33909,26.683,-81.9407
PS #77905,Fayetteville/Cliffdale Rd,9560 Cliffdale Rd,Fayetteville,NC,28304,35.0305,-79.0633
PS #77906,Semmes/Schillinger Rd N,2034 Schillinger Rd N,Semmes,AL,36575-7646,30.7329,-88.225
PS #77907,Saraland/Celeste Rd,203 Celeste Rd,Saraland,AL,36571-2004,30.8253,-88.0723
PS #77908,Mobile/Schillinger Rd S,2580 Schillinger Rd S,Mobile,AL,36695,30.637,-88.2263
PS #77909,Colorado Springs/Electronic Dr,7717 Electronic Dr,Colorado Springs,CO,80922,38.8732,-104.685
PS #77910,Colorado Springs/Tutt Blvd,3855 Tutt Blvd,Colorado Springs,CO,80922-2516,38.8879,-104.713
PS #77912,Paramus/NJ-175,75 NJ-175,Paramus,NJ,07652,40.9262,-74.0719
PS #77913,Maineveille/E Route 22& 3,268 E Route 22 & 3,Maineveille,OH,45039,39.3426,-84.2135
PS #77914,Marysville/E 5th St,1107 E 5th St,Marysville,OH,43040,40.2349,-83.3494
PS #77915,Maimisburg/Dayton Cincinnati,8691 Dayton Cincinnati Pike,Maimisburg,OH,45342-3169,39.6242,-84.2935
PS #77916,Midvale/W 9th Ave,621 W 9th Ave,Midvale,UT,84047,40.6181,-111.909
PS #77917,Litchfield Park/W Camelback Rd,15220 W Camelback Rd,Litchfield Park,AZ,85340,33.5096,-112.391
PS #77918,Stockton/Mariners Dr,9023 Mariners Dr,Stockton,CA,95219-4562,38.0316,-121.365
PS #77919,Summerville/Highway 78 E,10471 Highway 78 E,Summerville,SC,29483,33.0163,-80.1416
PS #77920,Sarasota/Cattlemen Rd,4451 Cattlemen Rd,Sarasota,FL,32475,27.2893,-82.4516
PS #77921,Mahwah/Leighton Place,12 Leighton Place,Mahwah,NJ,07430,41.0248,-74.1643
PS #77922,Louisville/Chenoweth Run Rd,3106 Chenoweth Run Rd,Louisville,KY,40299,38.1959,-85.5492
PS #77923,Sonoma/8th Street E,19792 8th Street E,Sonoma,CA,95476,38.2844,-122.435
PS #77925,Laveen/S 51st Ave,7145 S 51st Ave,Laveen,AZ,85339-2932,33.3818,-112.168
PS #77926,San Antonio/W Loop 1604 N,730 W Loop 1604 N,San Antonio,TX,78251,29.4401,-98.7095
PS #77927,Crestview/Brookmeade Dr,408 Brookmeade Dr,Crestview,FL,32539-7396,30.7385,-86.5623
PS #77928,Fort Walton Bch/Hollywood Bl S,112 Hollywood Blvd SE,Fort Walton Beach,FL,32548-4923,30.4122,-86.608
PS #77929,Niceville/John Sims Pkwy E,1850 John Sims Pkwy E,Niceville,FL,32578-2395,30.5118,-86.4463
PS #77930,Northville/Doheny Dr,787 Doheny Dr,Northville,MI,48167-1957,42.4306,-83.4738
PS #77931,Claremont/Centennial Blvd,2991 Centennial Blvd,Claremont,NC,28610,35.7199,-81.1576
PS #77932,Baytown/Garth Rd,8302 Garth Rd.,Baytown,TX,77521,29.8187,-94.984
PS #77933,Aiken/Whiskey Rd,3363 Whiskey Rd,Aiken,SC,29803-9091,33.4861,-81.6981
PS #77934,Garland/N Jupiter Rd,2200 Jupiter Rd,Garland,TX,75044-7345,32.9342,-96.6822
PS #77935,Beaufort/SC-128,240 Savannah Hwy,Beaufort,SC,29906,32.3937,-80.7554
PS #77936,Martinez/Washington Rd,4080 Washington Rd,Martinez,GA,30907-2323,33.5138,-82.1095
PS #77937,Greensboro/Liberty Rd,2700 Liberty Rd,Greensboro,NC,27406-4714,36.0346,-79.7708
PS #77939,Milton/Highway 90,7645 Highway 90,Milton,FL,32583,30.6277,-87.0032
PS #77943,Huntsville/Research Park Bl NW,6015 Research Park Bl NW,Huntsville,AL,35806,34.7766,-86.6735
PS #77944,Philadelphia/Cottman Ave,840 Cottman Ave,Philadelphia,PA,19111-3017,40.0613,-75.0866
PS #77946,W.Palm Beach/Cherry Rd,4355 Cherry Rd,West Palm Beach,FL,33409,26.698,-80.1099
PS #77947,Phoenix/N 28th Ave,16001 N 28th Ave,Phoenix,AZ,85053-4050,33.6315,-112.118
PS #77950,Northville/Eight Mile Rd W,58000 Eight Mile Rd W,Northville,MI,48167-9157,42.4331,-83.6192
PS #77951,South Lyon/W 10 Mile Rd,12782 W 10 Mile Rd,South Lyon,MI,48178-8135,42.4589,-83.6908
PS #77952,Augusta/Furys Ferry Rd,258 Furys Ferry Rd,Augusta,GA,30907,33.5206,-82.0624
PS #77953,Evans/Furys Ferry Rd,1106 Furys Ferry Rd,Evans,GA,30809-4210,33.5701,-82.1176
PS #77955,Macungie/W Main St,200 W Main St,Macungie,PA,18062-1109,40.5174,-75.5615
PS #77956,Buford/Hamilton Mill Rd,4266 Hamilton Mill Rd,Buford,GA,30519-3603,34.1061,-83.9802
PS #77957,Bowie/Superior Lane,3250 Superior Lane,Bowie,MD,20715-1916,38.9769,-76.7347
PS #77959,Gainesville/Old Cornelia Hwy,1924 Old Cornelia Hwy,Gainesville,GA,30501,34.3092,-83.7962
PS #77960,Maricopa/W Honecutt Rd,40675 W Honeycutt Rd,Maricopa,AZ,85138-3017,33.0581,-112.005
PS #77966,Las Vegas/S Buffalo Dr,4335 S Buffalo Dr,Las Vegas,NV,89147,36.1103,-115.262
PS #77967,Sicklerville/Sicklerville Rd,300 Sicklerville Rd,Sicklerville,NJ,08081-1829,39.714,-74.9632
PS #77968,Salem/Blossom Dr NE,3715 Blossom Dr NE,Salem,OR,97305-1722,44.9935,-122.987
PS #77969,Salem/Glen Creek Rd NW,350 Glen Creek Rd NW,Salem,OR,97304-3058,44.9499,-123.048
PS #77970,Mesa/N Ellsworth Rd,107 N Ellsworth Rd,Mesa,AZ,85207-8731,33.4172,-111.632
PS #77971,Glendale/N 43rd Ave,5142 N 43rd Ave,Glendale,AZ,85301-7107,33.513,-112.152
PS #77972,Mesa/E McKellips Rd,3049 E McKellips Rd Ste 15,Mesa,AZ,85213-3144,33.4511,-111.765
PS #77973,Tempe/S Priest Dr,5333 S Priest Dr,Tempe,AZ,85283-1071,33.3755,-111.963
PS #77974,Chandler/S Arizona Ave,1625 S Arizona Ave,Chandler,AZ,85286-7104,33.2812,-111.841
PS #77975,Glendale/W Cactus Rd,5240 W Cactus Rd,Glendale,AZ,85304-1947,33.5966,-112.173
PS #77976,Glendale/N 67th Ave,711867th Ave,Glendale,AZ,85301-2356,33.5401,-112.203
PS #77977,Phoenix/N 43rd Ave,9029 N 43rd Ave,Phoenix,AZ,85051-3267,33.5687,-112.151
PS #77978,Daly City/87th St,307 87th St,Daly City,CA,94015-1754,37.693,-122.475
PS #77979,Alameda/Sherman St,1913 Sherman St,Alameda,CA,94504-1121,37.7785,-122.264
PS #77980,Lafayette/Mt Diablo Blvd,3330 Mt Diablo Bl Apt 312,Lafayette,CA,94549-4060,37.8959,-122.105
PS #77981,Antioch/Mokelumne Dr,2199 Mokelumne Dr,Antioch,CA,94531-7476,37.9668,-121.787
PS #77982,Concord/Kirker Pass Rd,1705 Kirker Pass Rd,Concord,CA,94521-2422,37.9554,-121.954
PS #77983,Kaneohe/Kawa St,46-004 Kawa St,Kaneohe,HI,96744-3807,21.4181,-157.803
PS #77984,Corte Madera/San Clemente Dr,31 San Clemente Dr,Corte Madera,CA,94925-1206,37.9229,-122.511
PS #77985,Boise/W Vincent St,8303 W Vincent St,Boise,ID,83709-2650,43.5881,-116.285
PS #77986,Meridian/W Overland Rd,925 W Overland Rd,Meridian,ID,83642-6541,43.5891,-116.405
PS #77987,Caldwell/S KCID Rd,809 S KCID Rd,Caldwell,ID,83605-8197,43.6638,-116.633
PS #77988,Star/W State St,9870 W State St,Star,ID,83669-5210,43.6923,-116.477
PS #77989,Rohnert Park/State Farm Dr,6100 State Farm Dr,Rohnert Park,CA,94928-2135,38.3514,-122.706
PS #77990,Pleasanton/Stanley Blvd,3555 Stanley Blvd,Pleasanton,CA,94566-6256,37.6695,-121.862
PS #77991,Pacheco/Pacheco Blvd,5733 Pacheco Blvd,Pacheco,CA,94553-5127,37.9871,-122.069
PS #77992,Island Park/Austin Blvd,4055 Austin Blvd,Island Park,NY,11558-1215,40.6108,-73.6449
PS #77993,Vallejo/Broadway St,2033 Broadway St,Vallejo,CA,94589-1701,38.1452,-122.253
PS #77994,Olathe/S Strang Line Rd,11675 S Strang Line Rd,Olathe,KS,66062-5342,38.9177,-94.7606
PS #77995,Platte City/NW Prairie View Rd,2700 NW Prairie View Rd,Platte City,MO,64079-7604,39.3497,-94.7596
PS #77996,Kansas City/Blue Pkwy,13824 Blue Pkwy,Kansas City,MO,64139-1219,38.9624,-94.4245
PS #77997,Belton/N Scott Ave,715 N Scott Ave,Belton,MO,64012-1734,38.8264,-94.5377
PS #77998,Olathe/E Kansas City Rd,1702 E Kansas City Rd,Olathe,KS,66061-3004,38.8969,-94.7915
PS #77999,Kansas City/S 44th St,2806 S 44th St,Kansas City,KS,66106-3717,39.051,-94.6809
PS #78000,Mililani/Lehiwa Dr,95-1080 Lehiwa Dr,Mililani,HI,96789-5514,21.477,-157.993
PS #78001,San Jose/Spring St,1020 Spring St,San Jose,CA,95110-1616,37.35,-121.915
PS #78002,Fairfield/E Travis Blvd,837 E Travis Blvd,Fairfield,CA,94533-8701,38.258,-122.022
PS #78003,Merced/W 23rd St,3 W 23rd St,Merced,CA,95340-3908,37.3051,-120.473
PS #78006,Fort Pierce/Okeechobee Rd,5515 Okeechobee Rd,Fort Pierce,FL,34947,27.4179,-80.3808
PS #78007,Vista/N Melrose Dr,1340 N Melrose Dr,Vista,CA,92083-2916,33.2181,-117.257
PS #78008,Las Vegas/Southern Highlands P,11880 Southern Highlands Pkwy,Las Vegas,NV,89141,35.9738,-115.183
PS #78009,Lawrenceville/Collins Industri,235 Collins Industrial Way,Lawrenceville,GA,30043,33.9772,-84.0043
PS #78013,Warwick/Jefferson Blvd,32 Jefferson Blvd,Warwick,RI,02888,41.7531,-71.4351
PS #78014,Fayetteville/Highway 54 E,1222 Highway 54 E,Fayetteville,GA,30214-2226,33.4581,-84.4217
PS #78015,Providence/Harris Ave,345 Harris Ave,Providence,RI,02909-1052,41.8257,-71.4317
PS #78016,Porter / FM 1314,23771 FM 1314,Porter,TX,77365,30.1051,-95.2521
PS #78017,Tucson/E Broadway Blvd,5950 E Broadway Blvd,Tucson,AZ,85711-3904,32.2202,-110.863
PS #78018,North Bergen/JF Kennedy Blvd,5203 JF Kennedy Blvd,North Bergen,NJ,07047,40.7849,-74.0232
PS #78019,Jersey City/Thomas McGovern Dr,58 Thomas McGovern Dr,Jersey City,NJ,07305,40.7026,-74.0611
PS #78020,La Grange/E Crystal Drive,1440 E Crystal Drive,La Grange,KY,40031,38.4026,-85.3733
PS #78023,Haverhill/Lincoln Ave,219 Lincoln Ave,Haverhill,MA,01830-6738,42.7618,-71.0391
PS #78026,Ramsey/Ramsey Blvd NW,14795 Ramsey Blvd NW,Ramsey,MN,55303-6009,45.2392,-93.4491
PS #78027,McKinney/Craig Ranch Pkwy,7150 Craig Ranch Pkwy,McKinney,TX,75070,33.131,-96.723
PS #78028,Colmar / Bethlehem Pike,25 Bethlehem Pike,Colmar,PA,18915-9429,40.2658,-75.2528
PS #78029,St Augustine/McCoy Way,135 McCoy Way,St Augustine,FL,32095-0198,30.0175,-81.3945
PS #78031,Suitland/Forestville Rd,4350 Forestville Rd,Forestville,MD,20747-4727,38.8292,-76.8774
PS #78032,Manassas/Dumfries Rd,10411 Dumfries Rd,Manassas,VA,20110-7959,38.7285,-77.4713
PS #78033,Anderson/E West Pkwy,205 E West Pkwy,Anderson,SC,29621-1364,34.5512,-82.6733
PS #78034,Anderson/Pearman Dairy Rd,1475 Pearman Dairy Rd,Anderson,SC,29625-2081,34.53,-82.6981
PS #78035,Chandler/N Enterprise Pl,250 N Enterprise Pl,Chandler,AZ,85226,33.3065,-111.916
PS #78036,Queen Creek/S Power Rd,25240 S Power Rd,Queen Creek,AZ,85142,33.2185,-111.686
PS #78037,Lynn/Locust St,111 Locust St,Lynn,MA,01904-2944,42.4754,-70.956
PS #78038,Huntsville/Memorial Pkwy NW,3211 Memorial Pkwy NW,Huntsville,AL,35810-2405,34.7674,-86.5871
PS #78039,Layton/W Gordon Ave,631 W Gordon Ave,Layton,UT,84041-2496,41.0744,-111.978
PS #78040,Detroit/Algonquin St,1610 Algonquin St,Detroit,MI,48215,42.3721,-82.957
PS #78043,Napa/Golden Gate Dr,1025 Golden Date Dr,Napa,CA,94558-6187,38.2791,-122.3
PS #78044,Orlando/International Dr S,12611 International Dr S,Orlando,FL,32821-6941,28.3847,-81.4818
PS #78046,Tacoma/South G Street,2365 South G Street,Tacoma,WA,98405-4335,47.2389,-122.442
PS #78047,St Paul/Montreal Way & 7th St,875 Montreal Way,St Paul,MN,55102-4245,44.9147,-93.1419
PS #78048,Brookhaven/E Brookhaven Rd,121 E Brookhaven Rd,Brookhaven,PA,19015,39.8728,-75.3863
PS #78049,Newhall/Carl Ct,23715 Carl Ct,Newhall,CA,91321-4660,34.3731,-118.516
PS #78050,Lehi/W Orinda Dr,4117 W Orinda Dr,Lehi,UT,84043,40.3925,-111.915
PS #78055,Decatur/Flakes Mill Rd,3700 Flakes Mill Rd,Decatur,GA,30034-5702,33.6784,-84.2307
PS #78056,Lacey/Balustrade Blvd SE,6155 Balustrade Blvd SE,Lacey,WA,98513,46.99,-122.8
PS #78057,La Vista/Olive Street,11109 Olive Street,La Vista,NE,68128-2994,41.1848,-96.0867
PS #78058,Parrish/Moccasin Wallow Rd,9419 Moccasin Wallow Rd,Parrish,FL,34219-8753,27.6002,-82.4686
